topic,n_notes,wasserstein_intercept,wasserstein_factor1,wasserstein_factor2,ks_intercept,ks_factor1,ks_factor2
other_hobbies,1,0.0,0.27613985262145396,0.15847116172532755,0.0,0.5652173913043478,0.8695652173913043
celebrity_and_pop_culture,1,0.0,0.27613985262145396,0.15847116172532755,0.0,0.5652173913043478,0.8695652173913043
business_and_entrepreneurs,1,0.0,0.27613985262145396,0.15847116172532755,0.0,0.5652173913043478,0.8695652173913043
fitness_and_health,3,0.0,0.3906127768655726,0.5807018067072209,0.0,0.3695652173913043,0.782608695652174
science_and_technology,1,0.0,0.27613985262145396,0.15847116172532746,0.0,0.6304347826086957,0.8478260869565217
news_and_social_concern,39,0.0,0.040036216013526166,0.05002965476852107,0.0,0.06633221850613155,0.14046822742474915
